Key,Id,English(en),French(fr),German(de)
"Basic Chair",1014121199362048,"Chair","Chaise","Stuhl"
"Basic Chair Description",1014289168654336,"Although not suitable to sleep on, you can get a bit of rest on this.","Bien qu'il ne soit pas adapté pour dormir, tu peut te reposer un peu ici.","Obwohl es nicht zum Schlafen geeignet ist, kann man sich auf dieser Platte etwas ausruhen."
"Basic Table",671511486193664,"Table","Table","Tisch"
"Basic Table Description",671612958990336,"A simple wooden table. you can place things on it!","Une table en boi, tu peut poser des objects dessus!","Ein einfacher Holztisch, auf den man Dinge stellen kann!"
"Bookcase Basic",261777566261248,"Bookcase","Bibliothèque","Bücherregal"
"Bookcase Basic Description",262260733304832,"A large bookcase, while you cannot put things in it, you can place things on it!","Une grande bibliothèque, dans lequel tu ne peut pas ranger des choses, mais tu peut poser des choses dessus!","In ein großes Bücherregal kann man zwar keine Dinge hineinstellen, aber man kann Dinge darauf platzieren!"
"Crate",6080478311931904,"Crate","Caisse","Kiste"
"Crate Description",6080480161619968,"A large wooden box, I wonder if there's anything in it?","Une grande boîte en bois. Je me demande s'il y à quelque chose dedans?","Eine große Holzkiste, ich frage mich, ob da etwas drin ist?"
"JackOLantern",119880876155265024,"Jack-O'-Lantern","Jack-O'-Lantern","Jack-O'-Lantern"
"JackOLantern Description",119881114588864512,"This vegetable carving brings much joy and a little light, warding off evil spirits.","Cette sculpture végétale apporte beaucoup de joie et un peu de lumière, éloignant les mauvais esprits.","Diese Gemüseschnitzerei bringt viel Freude und ein wenig Licht und wehrt böse Geister ab."
"Planter",6826954931625984,"Planter","Jardinière","Pflanzmaschine"
"Planter Description",6826961940307968,"A small box of soil with some flowers.","Une petite boîte avec de la terre et des fleurs.","Eine kleine Schachtel mit Erde und einigen Blumen."
"Small Vase",9304596480,"Vase","Vase","Vase"
"Small Vase Description",67127271424,"A vase, flower included.","Un vase, fleur incluse.","Eine Vase, inklusive Blume."
"Stool",1016791310065664,"Stool","Tabouret","Hocker"
"Stool Description",1016946558033920,"Although without a back, it's nicer on the behind than a simple chair.","Bien que dépourvu de dossier, il est plus agréable pour le derrière qu'une simple chaise.","Obwohl er keine Rückenlehne hat, ist er für den Rücken angenehmer als ein einfacher Stuhl."
"Wheel",6104307109257216,"Wooden Wheel","Roue en bois","Hölzernes Rad"
"Wheel Description",6104317758595072,"Spin, spin, spin, and around we go!","Tourne, tourne, tourne, on tournes en rond!","Drehen, drehen, drehen, wir drehen uns!"
"Wooden Post",103262010381754368,"Wooden Post","Poutre en bois","xxx"
"Wooden Post Description",103262041037922304,"A small post, made of wood, as you might expect.","Une petite poutre, faite de bois, comme tu peux t'y attendre.","xxx"
