Key,Id,English(en),French(fr),German(de)
"Smell Flower Bloop",3753605914624,"Bloopy Smell","Odeur Bloopy","x"
"Smell Flower Bloop Description",3810673614848,"This smell, as it enters your nostrils, goes Bloop!","Cette odeur, que elle entre ton nez, fait Bloop!","x"
"Smell Flower Bluebell",4532060348416,"Bluebell Smell","Odeur de Bluebell","x"
"Smell Flower Bluebell Description",4537299034112,"This smell has a a slight semblance of smoke, were it enticing and almost dangerous.","Cette odeur te rapelle la fumée, si la fumée etait attirant et presque dangereux.","x"
"Smell Flower Capucine",6783432712192,"Nasturium Smell","Odeur de Capucine","x"
"Smell Flower Capucine Description",6787186614272,"This curious smell makes ants question existence.","Cette odeur curieuse provoque un questionememt existentielle chez les fourmis.","x"
"Smell Flower Classic",11129118720,"Simple Smell","Odeur Simple","x"
"Smell Flower Classic Description",15172427776,"This scent, unsurprisingly, smells just like a little flowerthat a child would draw.","Cette odeur sent, comme on s'y attendrais, comme une petite fleur qu'un enfant dessinerais.","x"
"Smell Flower Daisy",8156635258880,"Daisy Smell","Odeur de Marguerite","x"
"Smell Flower Daisy Description",8157381844992,"This subtle smell makes you think of your Grandma.","Cette odeur subtile te fait penser a ta Grandmère.","x"
"Smell Flower Dancer",9285091778560,"Dancing Smell","Odeur Dansant","x"
"Smell Flower Dancer Description",9286039691264,"This smell wiggles and jiggles around.","Cette odeur secoue et remue.","x"
"Smell Flower Floopy",10157267935232,"Floopy Smell","Odeur Pendant","x"
"Smell Flower Floopy Description",10158937268224,"This low-energy smell drags along, but gets there in the end.","Cette odeur un peu lent au depart y arrive quand-même.","x"
"Smell Flower Floppy",11304078729216,"Floppy Smell","Odeur Mou","x"
"Smell Flower Floppy Description",11309418078208,"One moment this smell is like this, and then flops to be like that.","Cette odeur est de la manière que tu l'interprete, assez maléable.","x"
"Smell Flower Four Petals",303529647988736,"Four Petals Smell","Odeur Quatre Petales","x"
"Smell Flower Four Petals Description",303539940810752,"This smell keeps going in four directions.","Cette odeur va continuellement dans quatre directions.","x"
"Smell Flower GlowyRedLeaf",304205589438464,"Glowy Red Leaf Smell","Odeur Feuilles Rouge Radieux","x"
"Smell Flower GlowyRedLeaf Description",304212480679936,"This smell seems to brighten your day.","Cette oddeur illumine ta journée.","x"
"Smell Flower Hello",305073508376576,"Hello Smell","Odeur Bonjour","x"
"Smell Flower Hello Description",305077161615360,"This smell has a nice warm ""Hello!"" for everyone it meets!","Cette odeur a un ""Bonjour"" chaleureux pour chaque rencontre.","x"
"Smell Flower Horn",305600296181760,"Horn Smell","Odeur Cornu","x"
"Smell Flower Horn Description",305605954297856,"This smell pokes and toots, just as horns are prone to do!","Cette odeur pique et klaxonne, exactement comme une corne porrait le faire.","x"
"Smell Flower Kissy",306330629365760,"Kissy Smell","Odeur Becs","x"
"Smell Flower Kissy Description",306382273830912,"This smell gives a little kiss each time you encounter it.","Cette odeur te donne un petit bec a chaque interaction.","x"
"Smell Flower Moon",306885284126720,"Moon Smell","Odeur Lune","x"
"Smell Flower Moon Description",306886999597056,"This is what the moon smells like... if it had an atmosphere.","Ca sent comme la lune... si la lune avait un atmosphère.","x"
"Smell Flower PurpleBerry",307380048420864,"Purple Berry Smell","Odeur Baie Violette","x"
"Smell Flower PurpleBerry Description",307380824367104,"This little purple berry has a pungent nose activity for you.","Cette baie violette a une activité poignante pour ton nez.","x"
"Smell Flower RedBloobs",308171048017920,"Bloobs Smell","Odeur Gouttelette","x"
"Smell Flower RedBloobs Description",308175531728896,"This smell reminds you drops of the color blue.","Cette odeur te fait penser a des gouttes de la couleur bleu.","x"
"Smell Flower Small",311808512024576,"Small Smell","Odeur Petite","x"
"Smell Flower Small Description",311811255099392,"A very tiny smell.","Une odeur toute petite.","x"
"Smell Flower Spikey",312198234169344,"Spikey Smell","Odeur Piquant","x"
"Smell Flower Spikey Description",312200188715008,"This smell has all the pokeys.","Cette odeur contient tout les piquous","x"
"Smell Flower Spiral",313337818177536,"Spiral Smell","Odeur Spirale","x"
"Smell Flower Spiral Description",313339890163712,"This smell keeps going in circles around you, coming ever closer.","Cette odeur tourne en rond autour de toi, s'approchant sans cesse.","x"
"Smell Flower SwedishBell",313864442404864,"Swedish Bell Smell","Odeur Cloche Suedoise","x"
"Smell Flower SwedishBell Description",313866946404352,"This smell has a very nice ring to it.","Cette odeur sonne bien.","x"
"Smell Flower Swirl",314268420988928,"Swirl Smell","Odeur Tourbillon","x"
"Smell Flower Swirl Description",314268966248448,"This smell make your very soul swirl around.","Cette odeur fait tourbillonner ton âme.","x"
"Smell Flower Thin",314931217489920,"Thin Smell","Odeur Fine","x"
"Smell Flower Thin Description",314970098688000,"This smell can fit through anything!","Cette odeur peut se faufiller partout!","x"
"Smell Flower TinyWhites",317013878169600,"Tiny Smell","Odeur Minuscule","x"
"Smell Flower TinyWhites Description",317017384607744,"This smell is so cute, as are all tiny things.","Cette odeur est mignon comme tout, c'est propre au chose minuscule, non?","x"
"Smell Flower Triplet",317933282189312,"Triplet Smell","Odeur Triple","x"
"Smell Flower Triplet Description",317936184647680,"Whatever this smells like, it's three times that.","Peu importe l'odeur, c'est trois fois ça.","x"
