Key,Id,English(en),French(fr),German(de)
"Axe IV",171771272820744192,"Axe IV","Axe IV","Axe IV"
"Axe IV Description",171771376835289088,"Axe IV Description","Axe IV Description","Axe IV Description"
"Backpack 12",179381391792332800,"Backpack (12)","Sac à dos (12)","Rucksack (12)"
"Backpack 12 Description",179381462487326720,"Backpack (12) Description","Sac à dos (12) Description","Rucksack (12) Description"
"Backpack 24",179381506737233920,"Backpack (24)","Sac à dos (24)","Rucksack (24)"
"Backpack 24 Description",179381556213243904,"Backpack (24) Description","Sac à dos (24) Description","Rucksack (24) Description"
"Clay Bowl",1578209173504,"Clay Bowl","Bol en argile","Tonnapf"
"Clay Bowl Description",1580016918528,"An empty bowl you can fill with water from any source.","Un bol vide que vous pouvez remplir avec de l'eau de n'importe quelle source.","Eine leere Schüssel, die Sie mit Wasser aus jeder Quelle füllen können."
"Compass I",14465313694867456,"Compass I","Boussole I","Kompass I"
"Compass I Description",14465316446330880,"With one of these equipped you can place one marker on the map and a <sprite anim=""0,1,12""> will appear to guide you there as best it can.","Avec cet objet equipé, tu peut placer un marqueur sur la carte et un <sprite anim=""0,1,12""> apparaîtra pour te guider du mieux qu'il peut.","Mit einem dieser Geräte kannst du einen Marker auf der Karte platzieren und ein <sprite anim=""0,1,12""> erscheint, um dich so gut es geht dorthin zu führen."
"Compass II",14515467328217088,"Compass II","Boussole II","Kompass II"
"Compass II Description",14515468460679168,"With one of these equipped you can place three markers on the map and <sprite anim=""0,1,12""> will appear to guide you there as best they can.","Avec cet objet equipé, tu peut placer trois marqueur sur la carte et des <sprite anim=""0,1,12""> apparaîtront pour te guider du mieux qu'ils peuvent.","Mit einem dieser Geräte kannst du drei Markierungen auf der Karte setzen, und <sprite anim=""0,1,12""> erscheinen, um dich so gut es geht dorthin zu führen."
"Compass III",14516190065516544,"Compass III","Boussole III ","Kompass III"
"Compass III Description",14516190669496320,"With one of these equipped you can place five markers on the map and <sprite anim=""0,1,12""> will appear to guide you there as best they can.","Avec cet objet equipé, tu peut placer cinq marqueur sur la carte et des <sprite anim=""0,1,12""> apparaîtront pour te guider du mieux qu'ils peuvent.","Mit einem dieser Geräte kannst du fünf Markierungen auf der Karte setzen, und <sprite anim=""0,1,12""> erscheinen, um dich so gut es geht dorthin zu führen."
"Copper Axe",13117218816,"Copper Axe","Hache en cuivre","Kupferaxt"
"Copper Axe Description",17269579776,"A copper axe. This can get soft wood and medium wood.","Une hache en cuivre. Cela peut couper du bois tendre et du bois moyen.","Eine Kupferaxt. Damit können weiches Holz und mittelhartes Holz geschnitten werden."
"Copper Pick Axe",1934066507776,"Copper Pick Axe","Pioche en cuivre","Kupfer-Spitzhacke"
"Copper Pick Axe Description",1935551291392,"A copper pick axe, it pokes rock really hard, better than that stone one.","Une pioche en cuivre, elle perce la roche vraiment fort, mieux que celle en pierre.","Eine Kupferspitzhacke, sie durchdringt den Fels wirklich hart, besser als die aus Stein."
"Drinking Glass",113425621485936640,"Drinking Glass","Verre à boire","Trinkglas"
"Drinking Glass Description",113426094330798080,"This clear and fragile object can be used to hold liquids, and eases the consumption of those liquids.","Cet objet transparent et fragile peut contenir des liquides et facilite la consomption de ces liquides.","Dieser durchsichtige und zerbrechliche Gegenstand kann zum Aufbewahren von Flüssigkeiten verwendet werden und erleichtert den Konsum dieser Flüssigkeiten."
"Iron Axe",951139753984,"Iron Axe","Hache en fer","Eisenaxt"
"Iron Axe Description",960308502528,"An Iron axe. This can get soft, medium and hard woods.","Une hache en fer. Cela peut couper du bois tendre, moyen et dur.","Eine Eisenaxt. Damit können weiches, mittelhartes und hartes Holz geschnitten werden."
"Iron Pick Axe",2245929787392,"Iron Pick Axe","Pioche en fer","Eisen-Spitzhacke"
"Iron Pick Axe Description",2246529572864,"An iron pick axe, it pokes rock really hard, but like, really really hard, not like those other two.","Une pioche en fer, elle perce la roche vraiment fort, mais vraiment vraiment fort, pas comme les deux autres.","Eine Eisen-Spitzhacke, sie durchdringt den Fels wirklich hart, aber wirklich wirklich hart, nicht wie die anderen beiden."
"Lantern",3147076001792,"Lantern","Lanterne","Laterne"
"Lantern Description",3148502065152,"Some how this shines light on you from above. Far out!","D'une manière ou d'une autre, cela projette de la lumière sur vous depuis le haut. Trop bien !","Auf irgendeine Weise strahlt dies Licht von oben auf dich. Großartig!"
"Pickaxe IV",171771300083720192,"Pickaxe IV","Pickaxe IV","Pickaxe IV"
"Pickaxe IV Description",171771438449614848,"Pickaxe IV Description","Pickaxe IV Description","Pickaxe IV Description"
"Poking Stick I",100096649893306368,"Poking Stick I","Bâton à piquer I","Stocherstock I"
"Poking Stick I Description",100097158561718272,"Can you truly say that you know an object until you've poked it? Well this item is the basic poking implement.","Pouvez-vous vraiment dire que vous connaissez un objet jusqu'à ce que vous l'ayez piquer avec un bâton? Eh bien, cet objet est l'outil plus simple pour piquer.","Kann man wirklich sagen, dass man einen Gegenstand kennt, bis man ihn berührt hat? Nun, dieser Artikel ist das grundlegende Stochergerät."
"Poking Stick II",103250638734417920,"Poking Stick II","Bâton à piquer II","Stocherstock II"
"Poking Stick II Description",103250759207411712,"Can you truly say that you know an object until you've poked it? Well this item is the advanced poking implement.","Pouvez-vous vraiment dire que vous connaissez un objet jusqu'à ce que vous l'ayez piquer avec un bâton? Eh bien, cet objet est l'outil avancé pour piquer.","Kann man wirklich sagen, dass man einen Gegenstand kennt, bis man ihn berührt hat? Nun, dieser Artikel ist das fortschrittliche Stochergerät."
"Poking Stick III",103251250695954432,"Poking Stick III","Bâton à piquer III","Stocherstock III"
