Key,Id,English(en),French(fr),German(de)
"Beet seed",169261502318567424,"Red Beet seed","Graine de Betterave Rouge","Rote-Bete-Samen"
"Beet seed Description",169261542298673152,"This nutritious variant of the color red has quite a few health perks compared to its plain red pigment.  Although it does add a healthy dose of red to just about anything.","x","x"
"Blu Strawberri seed",169567656202526720,"Blu Strawberri seed","Blu Strawberri seed","Blu Strawberri seed"
"Blu Strawberri seed Description",169567742336753664,"Blu Strawberri seed Description","Blu Strawberri seed Description","Blu Strawberri seed Description"
"Carrot seed",810261471232,"Carrot seed","Graine de carotte","Karottensamen"
"Carrot seed Description",823192510464,"Such a small seed does so much!","Une si petite graine fait tant de choses !","So ein kleiner Samen kann so viel bewirken!"
"Chili seed",1070018912256,"Chili seed","Graine de piment","Chili-Samen"
"Chili seed Description",1075324706816,"This will certainly spice up your life, or at least your dishes.","Cela va certainement pimenter votre vie, ou du moins vos plats.","Das wird sicherlich Ihr Leben aufpeppen, oder zumindest Ihre Gerichte."
"Corn Meal",1409824645120,"Corn Meal","Farine de maïs","Maismehl"
"Corn Meal Description",1415298211840,"I bet you could make a meal with this.","Je parie que vous pourriez préparer un repas avec cela.","Ich wette, du könntest damit eine Mahlzeit zubereiten."
"Corn seed",2231706902528,"Corn seed","Graine de maïs","Maiskorn"
"Corn seed Description",2233212657664,"A single kernel of corn, all by its lonesome.","Un unique grain de maïs, tout seul.","Ein einzelnes Maiskorn, ganz alleine."
"Flax seed",3275455258624,"Flax seed","Graine de lin","Leinsamen"
"Flax seed Description",3277174923264,"A flax seed. Seed this to get fiber and linseed! For some reason linseed isn't flax seed, nor is flax seed linseed. ","Une graine de lin. Plantez ceci pour obtenir des fibres et des graines de lin ! Pour une raison quelconque, les graines de lin ne sont pas des graines de lin, pas plus que les graines de lin ne sont des graines de lin.","Ein Leinsamen. Pflanzen Sie dies, um Fasern und Leinsamen zu erhalten! Aus irgendeinem Grund sind Leinsamen nicht Leinsamen, genauso wenig wie Leinsamen Leinsamen sind."
"Onion seed",4330129776640,"Onion seed","Graine d'oignon","Zwiebelsamen"
"Onion seed Description",4486963191808,"To think that somthing so small could ever make you cry, but imagine how sad life would be without its presence.","Penser qu'une chose si petite puisse jamais vous faire pleurer, mais imaginez à quel point la vie serait triste sans sa présence.","Denken Sie daran, dass etwas so Kleines jemals dazu führen könnte, dass Sie weinen, aber stellen Sie sich vor, wie traurig das Leben ohne seine Anwesenheit wäre."
"Potato Seed",25031569502167040,"Potato seed","Graine de Pomme de terre","Kartofelnsamen"
"Potato Seed Description",25031571012116480,"Not a seed potato, a potato seed, look it up. Somewhat of a chicken/egg situation going on here I guess.","Et oui, une graine qui provient d'une fleur, c'est un truc pour les pommes de terre aussi, mais on ne l'utilise pas. ","get over it..."
"Pumpkin seed",4767952199680,"Pumpkin seed","Graine de citrouille","Kürbiskern"
"Pumpkin seed Description",4771655770112,"Something so small becomes something so large... who'd-a-thunk?","Quelque chose d'aussi petit devient quelque chose d'aussi grand... Qui l’eût cru ?","Etwas so Kleines wird zu etwas so Großem... Wer hätte das gedacht?"
"Sunflower Oil",6493152086646784,"Sunflower Oil","Huile de tournesol","Sonnenblumenöl"
"Sunflower Oil Description",6493204922294272,"This slippery liquid can brighten up any dish! ","Ce liquide luisant peut amener du soleil à n'importe quel plat ! ","Diese glitschige Flüssigkeit kann jedes Gericht aufpeppen! "
"Sunflower seed",6476164480163840,"Sunflower seed","Graine de tournesol","Sonnenblumenkern"
"Sunflower seed description",6476264690475008,"Sunflowers like staring at the sun all day, even though it's not good for their eyes.","Les tournesols aiment regarder le soleil toute la journée, même si ce n'est pas bon pour leurs yeux.","Sonnenblumen starren gerne den ganzen Tag in die Sonne, obwohl das nicht gut für ihre Augen ist."
"Tomato seed",5397596921856,"Tomato seed","Graine de tomate","Tomatensamen"
"Tomato seed Description",5400172224512,"A cute plant with fuzz on the stems! If you get the fuzz on your fingers it smells like fresh tomatoes! And the you can make a sauce I guess...","Une jolie plante avec des poils sur les tiges ! Si vous avez de la peluche sur les doigts, cela sent la tomate fraîche ! Et ensuite, vous pouvez faire une sauce, je suppose...","Eine niedliche Pflanze mit Flaum auf den Stielen! Wenn du den Flaum an deinen Fingern hast, riecht es nach frischen Tomaten! Und dann kannst du wohl eine Soße machen..."
"Wheat seed",6542599970816,"Wheat seed","Graine de blé","Weizensamen"
"Wheat seed Description",6544961363968,"An evolved form of grass that has been cultivated for millenia now. You may continue the tradition too!","Une forme évoluée d'herbe qui a été cultivée depuis des millénaires maintenant. Vous pouvez continuer la tradition aussi !","Eine weiterentwickelte Form von Gras, die seit Jahrtausenden kultiviert wird. Sie können die Tradition fortsetzen!"
