Key,Id,English(en),French(fr),German(de)
"Asterion Rewards",40306251746828288,"Asterion's Rewards","Les Recompenses d'Asterion","Asterion's Rewards"
"Ball Spawner",138415881315737600,"Ball Spawner","Ball Spawner","Ball Spawner"
"Bed",135210029792419840,"Bed","Lit","Bett"
"Bed Description",135210073903915008,"Using this fabulous invention you can regain <sprite anim=""6,21,12""> and <sprite name=""Gumption"">! Peak comfort right here I tell you!","En utilisant cette fabuleuse invention, vous pouvez retrouver du <sprite anim=""6,21,12""> et <sprite name=""Gumption""> ! Un confort optimal ici, je vous le dis !","Mit dieser fabelhaften Erfindung können Sie <sprite anim=""6,21,12""> und <sprite name=""Gumption""> zurückgewinnen! Höchster Komfort hier, das sage ich Ihnen!"
"Campfire",1233093451776,"Campfire","Feu de camp","Lagerfeuer"
"Campfire Description",1265259569152,"A small campfire, providing light in a small area.","Un petit feu de camp, fournissant de la lumière dans une petite zone.","Ein kleines Lagerfeuer, das Licht in einem kleinen Bereich bietet."
"Charcoal Kiln",1554234531840,"Charcoal Kiln","Four à charbon de bois","Holzkohleofen"
"Charcoal Kiln Description",1558017794048,"This pile of sticks and clay has the ability to produce charcoal. ","Ce tas de bâtons et d'argile a la capacité de produire du charbon de bois.","Dieser Haufen aus Stöcken und Ton hat die Fähigkeit, Holzkohle zu erzeugen."
"Chest",140669857511825408,"Chest","Coffre","Truhe"
"Chest 12",2074235953152,"Chest (12)","Coffre (12)","Truhe (12)"
"Chest 12 Description",2077322960896,"A chest, it can hold items... you know, as chests are prone to doing. This one can hold 12 things.","Un coffre, il peut contenir des objets... vous savez, comme les coffres ont tendance à le faire. Celui-la peut tenir 12 choses.","Eine Truhe, sie kann Gegenstände aufbewahren... wissen Sie, wie Truhen es eben zu tun pflegen. Dieser kann 12 Dinge aufnehmen."
"Chest 24",140668917983535104,"Chest (24)","Coffre (24)","Truhe (24)"
"Chest 24 Description",140659213744005120,"A chest, it can hold items... you know, as chests are prone to doing. This one can hold 24 things.","Un coffre, il peut contenir des objets... vous savez, comme les coffres ont tendance à le faire. Celui-la peut tenir 24 choses.","Eine Truhe, sie kann Gegenstände aufbewahren... wissen Sie, wie Truhen es eben zu tun pflegen. Dieser kann 24 Dinge aufnehmen."
"Chest 36",140668945674330112,"Chest (36)","Coffre (36)","Truhe (36)"
"Chest 36 Description",140659274750156800,"A chest, it can hold items... you know, as chests are prone to doing. This one can hold 36 things.","Un coffre, il peut contenir des objets... vous savez, comme les coffres ont tendance à le faire. Celui-la peut tenir 36 choses.","Eine Truhe, sie kann Gegenstände aufbewahren... wissen Sie, wie Truhen es eben zu tun pflegen. Dieser kann 36 Dinge aufnehmen."
"Cooking Station",2439501111296,"Cooking Station","Station de cuisson","Kochstation"
"Cooking Station Description",2444223897600,"Cooks foods, as expected I guess.","Cuit les aliments, comme on s'y attend, je suppose.","Bereitet Lebensmittel zu, wie man es erwartet, nehme ich an."
"Crafting Station",44285393173536768,"Basic Crafting Station","Station de Fabrication de base","Basic Crafting Station"
"Crafting Station Broken",39207785989726208,"Crafting station (Broken)","Station de Fabrication (Détruit)","Crafting station (Broken)"
"Dynamiball",138417859651493888,"Dynamiball","Dynamiball","Dynamiball"
"Dynamiblob Dispencer",138414880970039296,"Dynamiblob Extractor","Dynamiblob Extractor","Dynamiblob Extractor"
"EditorChest",205483129641164800,"Editor Chest","Editor Chest","Editor Chest"
"Juicer",113439496944017408,"Juicer","Pressoir","Entsafter"
"Juicer Description",113439532931145728,"This machine. through sheer force, extracts all the vital juices out of things. It makes a concentrate of sorts, if you will.","Cette machine, avec force pur, extraits les jus vitaux des choses. Ca crée une sorte de concentré, si tu veux bien.","Diese Maschine. entzieht den Dingen durch bloße Kraft alle lebenswichtigen Säfte. Es ergibt eine Art Konzentrat, wenn man so will."
"Loom",4594932965376,"Loom","Métier à tisser","Webstuhl"
"Loom Description",4670505934848,"Crafts cloth. This has got to be useful somehow...","Fabrique du tissu. Ça doit être utile d'une manière ou d'une autre...","Stellt Stoff her. Das muss auf irgendeine Weise nützlich sein..."
"Lost And Found",110569000766332928,"Lost And Found","Objets Perdus","Lost And Found"
"Mill",3774074118144,"Mill","Moulin","Mühle"
"Mill Description",3778704629760,"Grinds (like the devs teeth) things into a fine flour or dust. ","Broye (comme les dents du développeur) des objets en une fine farine ou poussière","x"
"Research Post",14570543476432896,"Research Post","Station de recherche","Forschungsbeitrag"
"Robot",157029004788424704,"Robot","Robot","Robot"
"Robot Base",157021370916069376,"Robot Base","Robot Base","Robot Base"
"Robot Base Description",157021472594386944,"Place the Robot Base in the world and a Robot will appear that will gather the selected item type as it wanders through the land.","Place the Robot Base in the world and a Robot will appear that will gather the selected item type as it wanders through the land.","Place the Robot Base in the world and a Robot will appear that will gather the selected item type as it wanders through the land."
"Robot Description",157029114679189504,"Robot Description","Robot Description","Robot Description"
"Scarekernut",197182667380809728,"Scarekernut","Epouvantix","Cokerscheuche"
"Scarekernut Description",199008598403637248,"This scares Cokernut Flump, while he might still appear and spew ooze all over, at least he won't destroy your crafting stations also.","x","x"
"Seed Box",5142113476608,"Seed Box","Boîte à graines","Samenkiste"
"Seed Box Description",5145972236288,"A box that can be connected to a farming area. If it's part of a farm area, seeds you place in it will be planted and harvested. ","Une boîte qui peut être connectée à une zone de culture. Si elle fait partie d'une zone agricole, les graines que vous y placez seront plantées et récoltées.","Eine Box, die mit einem landwirtschaftlichen Bereich verbunden werden kann. Wenn sie Teil eines Bauernhofs ist, werden die von Ihnen dort platzierten Samen gepflanzt und geerntet."
"Sheltered Bed",11285994541735936,"Sheltered Bed","Lit Couvert","Geschütztes Bett"
"Sheltered Bed Description",11286014800224256,"A simple bed to sleep in.","Un simple lit dans lequel tu peut dormir.","Ein einfaches Bett zum Schlafen"
"Smelter",5767635197952,"Smelter","Fonderie","Schmelzofen"
"Smelter Description",5771061944320,"Smelts smeltables","Fond les objets à fondre.","Schmilzt schmelzbare Gegenstände."
"Spinner",6014449016832,"Spinner","Fileuse","Spinnrad"
"Spinner Descripion",6017385029632,"Crafts rope and other stringy things all on its lonesome. Pretty slick contraption if you ask me. ","Fabrique de la corde et d'autres choses filandreuses tout seul. Une sacrée machinerie, si vous voulez mon avis.","Stellt Seil und andere fadenartige Dinge ganz alleine her. Ziemlich schlaues Gerät, wenn Sie mich fragen."
"Squirrel Box",6245081210880,"Squirrel Box","Boîte d'écureuil","Eichhörnchenkiste"
"Squirrel Box Description",6248415682560,"A box that is connected to all the other squirrel boxes throughout the world. Anyhing you put in this box will be accessible from any other squirrel box you place in the world.","Une boîte connectée à toutes les autres boîtes d'écureuil à travers le monde. Tout ce que vous placez dans cette boîte sera accessible depuis n'importe quelle autre boîte d'écureuil que vous placez dans le monde.","Eine Box, die mit allen anderen Eichhörnchenkisten weltweit verbunden ist. Alles, was Sie in diese Box legen, ist von jeder anderen Eichhörnchenkiste aus zugänglich, die Sie in der Welt platzieren."
"Surrounding Area",49727587783073792,"Surrounding Area","Surrounding Area","Surrounding Area"
"Table Saw",173317840317243392,"Table Saw","Table Saw","Table Saw"
"Table Saw Description",173317894000140288,"This saw with an integrated table can craft some pretty impressive items. You put in wood and get a plank, sure, pretty run-of-the-mill, but put in an ingot and get a sheet of metal? I mean, who comes up with these things?","Cette scie, avec une table incluse, arrive a fabriquer des objets assez impressionant. Enfin, tu mets du bois et tu auras une planche, facile, mais tu mets un lingot et the reçois une plaque de métal? Mais qui c'est qui pense à ça?","Mit dieser Säge mit integriertem Tisch lassen sich einige beeindruckende Gegenstände herstellen. Man legt Holz hinein und erhält ein Brett, klar, ziemlich gewöhnlich, aber wenn man einen Barren hineinlegt, erhält man ein Blech? Ich meine, wer kommt auf diese Dinge?"
